TME75740 MIXIO EP CBOM,,,
PART_NUMBER,Qty,UP,Subtotal
1CAP005357,11,0.00278812,0.03066932
1CAP007179,11,0.003415447,0.037569917
1CAP009701,8,0.09619014,0.76952112
1DDE007658,28,0.05875,1.645
1RES000967,5,0.4530695,2.2653475
1RES002486,10,0.00252,0.0252
1RES005338,4,0.00136,0.00544
1RES005340,51,0.003,0.153
1RES005630,1,0.00136,0.00136
1RES005914,1,0.1742575,0.1742575
1RES007394,3,0.00252,0.00756
1TRA003205,11,0.06868,0.75548
1TRA008357,1,0.11104,0.11104
28050-12751,8,1.2755649,10.2045192
28100-00054,8,0.347957376,2.783659008
29220704AA,4,0.00252,0.01008
29714700KA,2,4.1657,8.3314
HUA14798,1,0.00418218,0.00418218
HUA17051,3,0.00136,0.00408
HUA18069,15,0.00252,0.0378
HUA21742,33,0.05875,1.93875
HUA21860,10,0.00252,0.0252
HUA24527,5,0.3,1.5
HUA25484,8,0.00832,0.06656
HUA31517,12,0.0266,0.3192
HUA33526,1,1.23234904,1.23234904
HUA33683,1,0.11500995,0.11500995
HUA38602,2,0.84672,1.69344
HUA38622,3,0.09409905,0.28229715
HUA39945,8,2.4047535,19.238028
HUA41232,2,2.64243,5.28486
HUA42312,16,0.035,0.56
HUA43319,2,0.1641,0.3282
HUA43340,5,0.12,0.6
HUA43618,24,0.07591,1.82184
P0182RR,8,0.00766733,0.06133864
RF3680,8,0.00832,0.06656
RF5224,1,0.00252,0.00252
SZ1DX2009,10,0.066636068,0.66636068
SZ1TF1005,10,0.04871,0.4871
TME00643,11,0.0588,0.6468
TME03076,1,0.036594075,0.036594075
TME06327,1,5.19268,5.19268
TME07600,10,0.002857823,0.02857823
TME11052,8,0.015961987,0.127695896
TME12810,5,0.15601,0.78005
TME14271,8,0.07591,0.60728
TME18598,1,0.51785,0.51785
TME23693,1,0.753837945,0.753837945
TME23728,1,1.80496,1.80496
TME34756,1,1.533466,1.533466
TME35427,2,0.001812278,0.003624556
TME36756,3,0.51719626,1.55158878
TME40907,1,12.3792528,12.3792528
TME52321,8,1.39406,11.15248
TME57167,8,0.31854271,2.54834168
TME58913,10,5.72578,57.2578
